,product_model,product_desc,category,sub_category,heading_text,product_url,sub_category_url,category_url
27,TSZ1208,ODYSSEY TSZ1208,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/174214/248209,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
28,TSZ1205,ODYSSEY TSZ1205,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/174215/248622,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
29,TSZ1203,ODYSSEY TSZ1203,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/174216/248522,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
30,TS1210CZBLK,ODYSSEY TS1210CZBLK,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/176228/248725,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
31,TS1210CZ,ODYSSEY TS1210CZ,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/174217/248623,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
32,TS1210,ODYSSEY TS1210,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/174218/248317,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
33,TS1208CZBLK,ODYSSEY TS1208CZBLK,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/176229/248824,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
34,TS1208CZ,ODYSSEY TS1208CZ,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/174219/248409,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
35,TS1208,ODYSSEY TS1208,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/174220/249802,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
36,TS1206CZBLK,ODYSSEY TS1206CZBLK,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/176230/249299,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
37,TS1206CZ,ODYSSEY TS1206CZ,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/174221/249803,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
38,TS1205CZ,ODYSSEY TS1205CZ,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/174222/249210,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
39,TS1205,ODYSSEY TS1205,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/174223/249211,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
40,TS1204CZ,ODYSSEY TS1204CZ,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/174224/248624,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
41,TS1203CZ,ODYSSEY TS1203CZ,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/174225/248318,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
42,TS1202CZ,ODYSSEY TS1202CZ,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/174226/249719,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
43,SWTP5BLK,ODYSSEY SWTP5BLK,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/174270/248212,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
44,SWTP3WHT,ODYSSEY SWTP3WHT,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/192297/250057,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
45,SWTP3BLK,ODYSSEY SWTP3BLK,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/174272/248213,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
46,SWT6088WHT,ODYSSEY SWT6088WHT,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/192299/249557,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
47,SWT6088BLK,ODYSSEY SWT6088BLK,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/174274/248417,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
48,SWLTPSWHT-C,ODYSSEY SWLTPSWHT-C,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/192300/249361,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
49,SWLTPSWHT,ODYSSEY SWLTPSWHT,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/184695/250039,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
